https://www.halhigdon.com/training-programs/more-training/winter-training/
Run 15 min easy
Run 45 min easy
Run 30 min easy
30 min tempo
Rest
Run 60 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
40 min tempo
Rest
Run 75 min easy
Cross train 60 min
Run 25 min easy
Run 45 min easy
Run 30 min easy
30 min tempo
Rest
Run 90 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
30 min tempo
3 mi run
Run 60 min easy
Cross train 60 min
Run 15 min easy
Run 45 min easy
Run 30 min easy
40 min tempo
Rest
Run 75 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
30 min tempo
Rest
Run 90 min easy
Cross train 60 min
Run 25 min easy
Run 45 min easy
Run 30 min easy
30 min tempo
Rest
Run 60 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
40 min tempo
3 mi run
Run 75 min easy
Cross train 60 min
Run 15 min easy
Run 45 min easy
Run 30 min easy
30 min tempo
Rest
Run 90 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
30 min tempo
Rest
Run 60 min easy
Cross train 60 min
Run 25 min easy
Run 45 min easy
Run 30 min easy
40 min tempo
Rest
Run 75 min easy
Cross train 60 min
Run 20 min easy
Run 60 min easy
Run 30 min easy
30 min tempo
3 mi run
Run 90 min easy
Cross train 60 min
Run 15 min easy
Run 60 min easy
Run 30 min easy
30 min tempo
Rest
Run 90 min easy
Race
